error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	US	2800672	US	C. Wetmore	Wyoming	Gallatin	NA	county_not_matched_no_match	county_not_matched	45.7156,-110.973	NA	Gallatin National Forest. M Hill, 4 mi N of Bozeman.	https://lichenportal.org/portal/collections/individual/index.php?occid=2800672
COUNTRY	1000	US	3362119	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3362119
COUNTRY	1000	US	3376243	US	C. Wetmore	Wyoming	Weston	5177.71	outside_boundary_exact	not_found_in_US	12.78,-63	NA	Black Hills, along Skull Creek 3.2 mi S of road to Upton (18 mi NW of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=3376243
COUNTRY	1000	US	3381712	US	C. Wetmore	Wyoming	Weston	3362.66	outside_boundary_exact	not_found_in_US	46,-61	NA	Black Hills, N of Flying V Resort (10 mi N of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=3381712
COUNTRY	1000	US	3595509	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3595509
COUNTRY	1000	US	3595663	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3595663
COUNTRY	1000	US	3596726	US	C. Wetmore	Wyoming	Weston	3362.66	outside_boundary_exact	not_found_in_US	46,-61	NA	Black Hills, N of Flying V Resort (10 mi N of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=3596726
COUNTRY	1000	US	4763093	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=4763093
COUNTRY	1000	US	5498165	US	C. Wetmore	Wyoming	Weston	5177.71	outside_boundary_exact	not_found_in_US	12.78,-63	NA	Black Hills, along Skull Creek 3.2 mi S of road to Upton (18 mi NW of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=5498165
COUNTRY	1000	WIS	1057181	WIS	A.D. Hasler	Wyoming	Jackson	NA	county_not_matched_no_match	county_not_matched	44.726317,-109.947413	WIS-L-0030273	1 mi SW of Saddle Mt. (Yellowstone Nat. Park)	https://lichenportal.org/portal/collections/individual/index.php?occid=1057181
COUNTRY	1000	WIS	1224612	WIS	Robert S Egan	Wyoming	Yellowstone	NA	county_not_matched_no_match	county_not_matched	44.76667,-110.46145	WIS-L-0059348	Yellowstone National Park: 05 miles south of Tower Fall and 20 miles SE of Mammoth Hot Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1224612
COUNTRY	1000	WIS	2743666	WIS	Theodore L. Esslinger	Wyoming	Jackson	NA	county_not_matched_no_match	county_not_matched	42.347744,-105.868339	WIS-L-0120433	Cameron Pass area	https://lichenportal.org/portal/collections/individual/index.php?occid=2743666
