error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	COLO	1587429	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	COLO-L-0003377	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1587429
COUNTY	10	COLO	1689158	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	COLO-L-0029891	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1689158
COUNTY	10	TENN	1010816	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	TENN-L-0000488	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1010816
COUNTY	10	TENN	1015043	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	TENN-L-0001027	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1015043
COUNTY	10	TENN	1112531	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	TENN-L-0006414	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1112531
COUNTY	10	TENN	1112712	Edward Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	TENN-L-0006596	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1112712
COUNTY	10	TENN	1113442	Edvardo Tuckerman	New Hampshire	Carroll	1.06	outside_boundary_exact	New Hampshire, Coos County	44.14361,-71.31694	TENN-L-0007326	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1113442
COUNTY	10	TENN	1066403	E. Tuckermann	New Hampshire	Coos	1.03	outside_boundary_exact	New Hampshire, Grafton County	44.217144,-71.434187	TENN-L-0005233	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1066403
COUNTY	10	WIS	2426232	E. Tuckermann	New Hampshire	Coos	1.03	outside_boundary_exact	New Hampshire, Grafton County	44.217144,-71.434187	WIS-L-0086493	White Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=2426232
COUNTY	10	ILLS	2707041	J.L. Crane	New Hampshire	Carroll	0.87	outside_boundary_exact	New Hampshire, Coos County	44.25056,-71.22444	ILLS00101099	Wildcat Ridge trail (Appalachian Trail), Wildcat Mountain, Jackson.	https://lichenportal.org/portal/collections/individual/index.php?occid=2707041
COUNTY	10	ILLS	2709471	J.L. Crane	New Hampshire	Carroll County	0.87	outside_boundary_exact	New Hampshire, Coos County	44.25056,-71.22444	ILLS00090912	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709471
COUNTY	10	ILLS	2709474	J.L. Crane	New Hampshire	Carroll	0.87	outside_boundary_exact	New Hampshire, Coos County	44.25056,-71.22444	ILLS00092548	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson. UTM Zone 19, 322409mE, 4902108mN. Coordinate datum: NAD 83/WGS84.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709474
COUNTY	10	WIS	1071742	Mason E. Hale	New Hampshire	Grafton	0.56	outside_boundary_exact	New Hampshire, Coos County	44.21944,-71.41333	WIS-L-0037682	near town of Crawford House	https://lichenportal.org/portal/collections/individual/index.php?occid=1071742
COUNTY	10	WIS	1369278	Mason E. Hale	New Hampshire	Grafton	0.56	outside_boundary_exact	New Hampshire, Coos County	44.21944,-71.41333	WIS-L-0094695	Near Town of Crawford House	https://lichenportal.org/portal/collections/individual/index.php?occid=1369278
COUNTY	10	WIS	1369442	M. E. Hale	New Hampshire	Grafton	0.56	outside_boundary_exact	New Hampshire, Coos County	44.21944,-71.41333	WIS-L-0094859	Near Town of Crawford House	https://lichenportal.org/portal/collections/individual/index.php?occid=1369442
COUNTY	10	WIS	1369606	M.E. Hale	New Hampshire	Grafton	0.56	outside_boundary_exact	New Hampshire, Coos County	44.21944,-71.41333	WIS-L-0095023	Near Town of Crawford House	https://lichenportal.org/portal/collections/individual/index.php?occid=1369606
COUNTY	10	WIS	1350124	E. Faxon	New Hampshire	Carroll	0.42	outside_boundary_exact	New Hampshire, Coos County	44.2158,-71.4176	WIS-L-0081570	Belchers Cascade [Beechers Cascade]	https://lichenportal.org/portal/collections/individual/index.php?occid=1350124
COUNTY	10	NHA	2698804	J. Hoy	New Hampshire	Coos	0.03	outside_boundary_exact	New Hampshire, Carroll County	44.243955,-71.251462	NHA-499648	White Mountains, Glen Ellis Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2698804
COUNTY	10	NHA	2737619	J. Hoy	New Hampshire	Coos	0.03	outside_boundary_exact	New Hampshire, Carroll County	44.243955,-71.251462	NHA-499733	White Mountains, Glen Ellis Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2737619
