error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	MIN	934197	McDonald, T.	North Carolina	Swain	5	outside_boundary_exact	Tennessee, Sevier County	35.65694444,-83.43777778	924571	Mt. Leconte, Near The Shelter; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=934197
STATE	100	FLAS	2218005	Dana Griffin, III	North Carolina	Swain	3.28	outside_boundary_exact	Tennessee, Sevier County	35.600566,-83.508527	FLAS L351	Great Smoky Mountains National Park. Along the North Carolina border with Tennessee	https://lichenportal.org/portal/collections/individual/index.php?occid=2218005
STATE	100	ILLS	2711170	Loy R. Phillippe	North Carolina	Swain County	3.28	outside_boundary_exact	Tennessee, Sevier County	35.600566,-83.508527	ILLS00006497	Great Smoky Mountains National Park, elevation 5280 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2711170
STATE	100	ILLS	2714582	Loy R. Phillippe	North Carolina	Swain County	3.28	outside_boundary_exact	Tennessee, Sevier County	35.600566,-83.508527	ILLS00099067	Great Smoky Mountains National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714582
STATE	100	NCU	5773571	Perlmutter, Gary B.	North Carolina	Rockingham	1.29	outside_boundary_exact	Virginia, Henry County	36.55392,-79.98979	NCU-L-0007928	Mayo River State Park; Anglin Mill Access, trail along Mayo River	https://lichenportal.org/portal/collections/individual/index.php?occid=5773571
STATE	100	NCU	5774478	Perlmutter, Gary B.	North Carolina	Rockingham	1.29	outside_boundary_exact	Virginia, Henry County	36.55392,-79.98979	NCU-L-0007927	Mayo River State Park; Anglin Mill Access, trail along Mayo River	https://lichenportal.org/portal/collections/individual/index.php?occid=5774478
STATE	100	CINC	1807792	Windler, D.R.	North Carolina	Swain	1.05	outside_boundary_exact	Tennessee, Sevier County	35.601683,-83.470075	CINC-L-0000718	Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1807792
STATE	100	TENN	1015447	unknown	North Carolina	Swain	0.58	outside_boundary_exact	Tennessee, Sevier County	35.567565,-83.503131	TENN-L-0001434	Clingman's Dome	https://lichenportal.org/portal/collections/individual/index.php?occid=1015447
STATE	100	TENN	2956057	S.A. Cain	North Carolina	Swain	0.11	outside_boundary_exact	Tennessee, Sevier County	35.563294,-83.502866	TENN-L-0008474	Clingman's Dome, GSMNP	https://lichenportal.org/portal/collections/individual/index.php?occid=2956057
STATE	100	TENN	1015450	Unknown	North Carolina	Swain	0.06	outside_boundary_exact	Tennessee, Sevier County	35.563294,-83.50012	TENN-L-0001437	GSMNP: Clingman's Dome	https://lichenportal.org/portal/collections/individual/index.php?occid=1015450
