herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
LSU	1380564	LSU	Clifford M. Wetmore	Georgia	Charlton	3.59	outside_boundary_exact	Georgia, Ware County	30.75989,-82.24255	LSU00140561	OKEFENOKEE NAT. WILDLIFE REFUGE. 1.5 miles east of Bugaboo Isl. along Suwannee Canal.	https://lichenportal.org/portal/collections/individual/index.php?occid=1380564	COUNTY	10
ILLS	2710342	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton	3.32	outside_boundary_exact	Georgia, Ware County	30.74825,-82.19649	ILLS00100760	Okefenokee National Wildlife Refuge, Suwannee Canal Recreation Area, Edge of canal between mile marker 3 and 4 Suwannee Canal Recreation Area. Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2710342	COUNTY	10
ILLS	2718468	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton County,	3.11	outside_boundary_multi_county_1_of_2	Georgia, Ware County	30.7661,-82.35845	ILLS00100700	Billys Island at the Pinelands and trail to the Dismantled Logging Tram. Okefenokee National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718468	COUNTY	10
ILLS	2718469	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton County,	3.11	outside_boundary_multi_county_1_of_2	Georgia, Ware County	30.7661,-82.35845	ILLS00098877	Billys Island at the Pinelands and trail to the Dismantled Logging Tram. Okefenokee National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718469	COUNTY	10
LSU	1480470	LSU	Clifford M. Wetmore	Georgia	Ware	3.01	outside_boundary_exact	Georgia, Charlton County	30.98391,-82.19377	LSU00150520	OKEFENOKEE NAT. WILDLIFE REFUGE. West side of Grand Prairie in southeast part of swamp at Double Lakes.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480470	COUNTY	10
ILLS	3774653	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Ware	2.79	outside_boundary_exact	Georgia, Charlton County	30.81703,-82.22857	ILLS00151443	Chase Prairie. Okefenokee National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3774653	COUNTY	10
ILLS	2718464	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Ware County,	2.78	outside_boundary_multi_county_1_of_2	Georgia, Clinch County	30.70634,-82.46413	ILLS00100652	Chesser Prairie. Okefenokee National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718464	COUNTY	10
ILLS	3775358	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Ware	2.78	outside_boundary_exact	Georgia, Clinch County	30.70634,-82.46413	ILLS00172385	Chesser Prairie, Suwanee Canal Recreation Area. Okefenokee National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775358	COUNTY	10
PH	1725357	PH	Sean Q. Beeching	Georgia	Towns	2.7	outside_boundary_exact	Georgia, Union County	34.881546,-83.877226	PH00090609	Trackrock Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=1725357	COUNTY	10
LSU	1482468	LSU	Robert S. Egan	Georgia	Ware	2.62	outside_boundary_exact	Georgia, Charlton County	30.817229,-82.332378	LSU00150773	Okefenokee National Wildlife Refuge; Suwanee Canal Recreation Area near Camp Cornelia.	https://lichenportal.org/portal/collections/individual/index.php?occid=1482468	COUNTY	10
